Model,AIC,BIC,RMSE,MAE,MAPE (%)
"ETS(M,A,M)",965.9960091647314,1015.0036418486997,26.050750049374766,20.8729717840007,4.275977932328306
Holt-Winters (mult),,,54.907253484203935,46.55217632932739,9.664968667597044
Theta,,,96.88789049495942,70.47409290551936,13.206188723398787
"SARIMA(0,1,1)(0,1,1)[12]",901.7211284479371,910.0584989272717,482.6235914586147,476.9075492219079,100.17252682978206
"SARIMA(1,1,0)(1,1,0)[12]",900.8231821142175,909.1605525935521,482.6857581372286,476.9727812976391,100.18696583217725
"Auto-ARIMA (ARIMA(1,2,1)(0,1,0)[12])",900.1377704105638,908.4498242839608,482.7715097421355,477.0833239211692,100.21570849211521
