date,resid_inflation,rolling_var_inflation,resid_gdp,rolling_var_gdp,resid_fed_funds,rolling_var_fed_funds,sigma_inflation_inflation,sigma_inflation_gdp,sigma_inflation_fed_funds,sigma_gdp_gdp,sigma_gdp_fed_funds,sigma_fed_funds_fed_funds
1975-04-01,-0.0009426893834063588,,-0.0015375020046211052,,-0.00027320917800821576,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1975-07-01,0.05537286881555392,,0.13402957887033984,,0.01801905262043224,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1975-10-01,0.24447516767159616,,0.1077482163783654,,0.019931854862354825,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1976-01-01,0.1654101837467703,,0.39977604540489076,,0.13113273481850118,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1976-04-01,-0.2225538374908771,,0.6204320482194616,,-0.14701783068017438,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1976-07-01,0.14242838984309358,,0.4712088036356221,,0.2541867803016755,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1976-10-01,0.40486979988535454,,-0.7032895973629654,,0.2003537664497621,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1977-01-01,0.36710911943493896,,0.45891030534997945,,0.0671310740669453,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1977-04-01,-0.5768982398890095,,0.09691149849882696,,0.2774636896831808,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1977-07-01,-0.03692461710867012,,-0.6980589770064567,,0.24336698535556156,,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1977-10-01,0.05586865274756714,0.06617270133808435,0.02666907731795387,0.15470640649372722,0.33511752578352194,0.10823315246932975,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1978-01-01,0.07495332829788359,0.06900780020337256,0.5863928487350148,0.16479616858347287,-0.5681686015489991,0.12469086820899354,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1978-04-01,-0.08583303015963306,0.0959844751734313,-0.3514441143405862,0.2801490584226752,-0.08296461105410469,0.1250816586287218,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1978-07-01,0.23362691758635123,0.09524572078413811,-0.20094911388507497,0.28050493549090816,-0.6758786460946249,0.12517316403765788,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
1978-10-01,0.5491238463638939,0.10071156446316278,0.2634658407696928,0.27981066717270653,0.31476407180756905,0.13456847364872326,0.24676165680115617,0.050843650849477395,0.021891386406891016,0.43846523643870683,0.0008135554816119699,0.15816360550111067
