horizon,impulse,response,irf,lower,upper
0,gdp,gdp,0.6661892292636387,0.5707203964935231,0.703300091615965
0,gdp,inflation,0.08220064410451346,-0.007185877244891186,0.1533469162930854
0,gdp,fed_funds,-0.011670271251699303,-0.06253435815204497,0.04193279942719749
0,gdp,unemployment,-0.1036240307231154,-0.13580371050399903,-0.06178853380169738
0,inflation,gdp,0.0,0.0,0.0
0,inflation,inflation,0.4955609331373761,0.4210976100802796,0.5246986250146933
0,inflation,fed_funds,0.042759290942653336,-0.010951349739156182,0.09473946949011865
0,inflation,unemployment,0.08334975004708811,0.043779702894047465,0.11157619856575901
0,fed_funds,gdp,0.0,0.0,0.0
0,fed_funds,inflation,0.0,0.0,0.0
0,fed_funds,fed_funds,0.4034660713442297,0.34367214496807685,0.42280125366670346
0,fed_funds,unemployment,-0.0636329619751739,-0.10728752843658751,-0.02268298996223939
0,unemployment,gdp,0.0,0.0,0.0
0,unemployment,inflation,0.0,0.0,0.0
0,unemployment,fed_funds,0.0,0.0,0.0
0,unemployment,unemployment,0.27172798703521417,0.23503444492385778,0.27843176047516427
1,gdp,gdp,0.27562958944667787,0.1604359145787605,0.35574357715309457
1,gdp,inflation,0.0721989526371087,-0.01729942006267309,0.14615919737382813
1,gdp,fed_funds,0.092290109037825,0.019167250162635856,0.15633319316351374
1,gdp,unemployment,-0.161126289156686,-0.20950659950234468,-0.10149646153995008
1,inflation,gdp,-0.024927357007187855,-0.11870818508182833,0.07328797921353503
1,inflation,inflation,0.2228085881535551,0.11927932181114834,0.27937139947483286
1,inflation,fed_funds,0.07057109722107825,-0.006448706466433609,0.13733541878665229
1,inflation,unemployment,0.0498780448629975,-0.002054234313182379,0.09711540229446611
1,fed_funds,gdp,0.007518397450167021,-0.07888649088486974,0.09375043081685679
1,fed_funds,inflation,0.015550772640565048,-0.0550274049516915,0.0902358247955027
1,fed_funds,fed_funds,0.2726459944963346,0.19333181634762853,0.3151753815845738
1,fed_funds,unemployment,-0.02734807189698253,-0.08271931715945686,0.026820695769860462
1,unemployment,gdp,-0.01832639126628487,-0.10929169008816832,0.07186479956140976
1,unemployment,inflation,0.08604086166958329,0.011564153278736052,0.14586021158699916
1,unemployment,fed_funds,0.0013608964444884533,-0.05882514150811913,0.05963315181454158
1,unemployment,unemployment,0.22434383369832403,0.15998766215871885,0.24807187011438758
2,gdp,gdp,0.16461091302428593,0.04669291535078628,0.24192102258670384
2,gdp,inflation,0.12068363849937372,0.032571042760566486,0.18926021038611127
2,gdp,fed_funds,0.14341758369277446,0.05932479043796626,0.22160546083022892
2,gdp,unemployment,-0.17418505891143546,-0.22489629749851708,-0.10087155141521127
2,inflation,gdp,-0.014058821683175883,-0.10151913754246854,0.08801084864743756
2,inflation,inflation,0.16007507551356692,0.06243709560401177,0.21820484233784004
2,inflation,fed_funds,0.10937748995947326,0.023759545637322937,0.1726045039610816
2,inflation,unemployment,0.04169990883105331,-0.026354801262491977,0.09395182857309645
2,fed_funds,gdp,0.07742853804283566,-0.020232636107361833,0.17107257820500307
2,fed_funds,inflation,-0.007937572681521952,-0.09224989209119777,0.06909098272038687
2,fed_funds,fed_funds,0.2666112324662427,0.17360738960234798,0.31363810758065513
2,fed_funds,unemployment,-0.03726864690298723,-0.10130614585086645,0.022056049059001024
2,unemployment,gdp,0.051861016698575395,-0.04160897329306033,0.13677588462818804
2,unemployment,inflation,0.04978120546175272,-0.03575552073270898,0.11802815253802554
2,unemployment,fed_funds,0.007636442230109164,-0.06076261777623827,0.06937867545735737
2,unemployment,unemployment,0.1442459776605646,0.0693067567065043,0.18610781709035912
3,gdp,gdp,0.09602882186728315,-0.01580468262246631,0.18119995513558876
3,gdp,inflation,0.06525596151034997,-0.022104190099033597,0.13952329890939844
3,gdp,fed_funds,0.14345401534961716,0.04261800402113101,0.22204102796621358
3,gdp,unemployment,-0.1677569545478305,-0.22243999996402103,-0.08777919130040078
3,inflation,gdp,-0.07025235009757577,-0.15624010044169293,0.03532261696990074
3,inflation,inflation,0.12231563874073022,0.021805510060855748,0.17949515805947736
3,inflation,fed_funds,0.11415911181982914,0.01757805392576264,0.18896553274330122
3,inflation,unemployment,0.05193623435362722,-0.019225701414197095,0.10428964102759467
3,fed_funds,gdp,-0.10003586607414784,-0.20295762993104463,0.0043711499027178306
3,fed_funds,inflation,0.007870180420598023,-0.06759280711350682,0.09160171268134552
3,fed_funds,fed_funds,0.2149477331602504,0.11104696008835027,0.27325869126127106
3,fed_funds,unemployment,-0.01962653295941014,-0.08444562359346307,0.048337255752400006
3,unemployment,gdp,0.026705988587739198,-0.06756166265200304,0.1254303236154321
3,unemployment,inflation,0.02472137589143846,-0.05975509548399128,0.09609354094328275
3,unemployment,fed_funds,0.024390330686446082,-0.04860386458232271,0.10650883535853327
3,unemployment,unemployment,0.12858280680571765,0.051526534273619716,0.17535166083775466
4,gdp,gdp,0.048636168681310966,-0.06247429461911049,0.11886654157688477
4,gdp,inflation,0.023385516864596275,-0.05431934068770822,0.09141894900427541
4,gdp,fed_funds,0.14511142345913888,0.04919471799328191,0.2254327577746451
4,gdp,unemployment,-0.158071699644347,-0.2207359935976695,-0.06778908904577965
4,inflation,gdp,-0.010322558733624436,-0.09186321868608621,0.09278973344057692
4,inflation,inflation,0.05125380783193544,-0.045269558280342015,0.107307548758487
4,inflation,fed_funds,0.13059986526261158,0.03385819155015776,0.2073363400895379
4,inflation,unemployment,0.060314234668290896,-0.01900730020379076,0.12255300320454851
4,fed_funds,gdp,-0.030092292757106228,-0.10733744640036727,0.03377982136088044
4,fed_funds,inflation,-0.005973696376404514,-0.0646603036684201,0.05407705773829866
4,fed_funds,fed_funds,0.16956018759256464,0.07102153181273708,0.22601585442102182
4,fed_funds,unemployment,0.0016066006321221883,-0.06072401231668237,0.06419385395079834
4,unemployment,gdp,0.010052272275333275,-0.04187414742551346,0.07465700871587869
4,unemployment,inflation,0.027247210014520497,-0.031092918094057183,0.07228577221978275
4,unemployment,fed_funds,0.04458568026517912,-0.02375516504313012,0.10401403089101077
4,unemployment,unemployment,0.127790210511623,0.05876333041101216,0.16392932995151666
5,gdp,gdp,0.0040910676187884245,-0.09256327457575197,0.07034117058242208
5,gdp,inflation,0.0136849761667874,-0.0522617787608851,0.07391743834917319
5,gdp,fed_funds,0.12535646747577614,0.022009783474788273,0.2069287146388457
5,gdp,unemployment,-0.14044246357252177,-0.20254817336994163,-0.04461307823823404
5,inflation,gdp,-0.020169727457423334,-0.08640707655720667,0.06782154579935276
5,inflation,inflation,0.034183837713185235,-0.04702767330238234,0.08591050328995621
5,inflation,fed_funds,0.12439166485450112,0.018152129732581845,0.20214376590485755
5,inflation,unemployment,0.06553974293503825,-0.02011887461913269,0.12844364723504922
5,fed_funds,gdp,-0.049126182880471686,-0.11549808433835416,0.015642506089879066
5,fed_funds,inflation,-0.01966072153164405,-0.08184706557525595,0.03622729646529832
5,fed_funds,fed_funds,0.12801125009120157,0.021119341358068065,0.18569474972858446
5,fed_funds,unemployment,0.02032515451941519,-0.05057225684468204,0.08350328446274413
5,unemployment,gdp,0.02045715874086989,-0.0311719027945811,0.08637292605117558
5,unemployment,inflation,0.0188179453615623,-0.03607991523945846,0.05939264226759789
5,unemployment,fed_funds,0.054058466163314355,-0.01717900867802382,0.11676118548892671
5,unemployment,unemployment,0.11704725124737035,0.044098294921878486,0.1485295632852329
6,gdp,gdp,-0.0015305798597618574,-0.07754711591536337,0.0606411908029334
6,gdp,inflation,-0.0037990416581988934,-0.06404703653395791,0.04641695460939499
6,gdp,fed_funds,0.10350058108886927,0.0013673775188358167,0.18479688687946538
6,gdp,unemployment,-0.12218806156581997,-0.1845914331447673,-0.024029218811283903
6,inflation,gdp,-0.0062400482894431775,-0.06119694260697515,0.06788360604456685
6,inflation,inflation,0.022486274055665518,-0.046588756608814355,0.07377473535970784
6,inflation,fed_funds,0.11770256475962378,0.014120555260076034,0.20032646742839763
6,inflation,unemployment,0.0640468306043577,-0.02401771115343072,0.12488035985076061
6,fed_funds,gdp,-0.032808245278014,-0.0971453346065348,0.025128805436079826
6,fed_funds,inflation,-0.013177665036867571,-0.07204086830956281,0.035140943486928644
6,fed_funds,fed_funds,0.09909468005319011,-0.00313328906730579,0.15819649217356707
6,fed_funds,unemployment,0.02972468543151298,-0.04484000307247908,0.08723920703432292
6,unemployment,gdp,0.023367221684654195,-0.027710818113465,0.07680638618826939
6,unemployment,inflation,0.012631213531701414,-0.03697435575503633,0.049320831708968546
6,unemployment,fed_funds,0.05956045107193645,-0.014943875555202263,0.1307120961616921
6,unemployment,unemployment,0.10282649048700676,0.024894034172245654,0.1378873513071292
7,gdp,gdp,-0.01597766365905214,-0.08425585632101648,0.037211989529937185
7,gdp,inflation,-0.009970404831143762,-0.062061441445529116,0.03837685549785481
7,gdp,fed_funds,0.07900189367733901,-0.02308345806703156,0.15494837576788362
7,gdp,unemployment,-0.10407864405804315,-0.16664902689360708,-0.007088065395728004
7,inflation,gdp,-0.008746931531120779,-0.05811147843966455,0.04875876306935187
7,inflation,inflation,0.011701898077461309,-0.04945094643967588,0.05690369649247265
7,inflation,fed_funds,0.10626535058614267,0.004312511267602584,0.18671756889093327
7,inflation,unemployment,0.06459591819360996,-0.01956390075580818,0.12808428416985523
7,fed_funds,gdp,-0.027733876195388352,-0.08269948479958679,0.027771247741568156
7,fed_funds,inflation,-0.011049359190909899,-0.06631045499044047,0.03513940637182562
7,fed_funds,fed_funds,0.07296663126848478,-0.03014486145692265,0.13278583495740925
7,fed_funds,unemployment,0.03659362504581734,-0.03705963582694888,0.09563376173109382
7,unemployment,gdp,0.01620308840464914,-0.028277599575258744,0.06453587098893772
7,unemployment,inflation,0.011336561489618743,-0.034786013223320936,0.04855866479221341
7,unemployment,fed_funds,0.06235300452759591,-0.012272655811647052,0.12860177474046375
7,unemployment,unemployment,0.09240597602893762,0.012216278626645465,0.12899044328280523
8,gdp,gdp,-0.020286644647555085,-0.07898077947825415,0.028382402100974837
8,gdp,inflation,-0.010750785551757413,-0.054833926974446494,0.03428149116514955
8,gdp,fed_funds,0.05582728586425264,-0.04229643855518558,0.13301801292127455
8,gdp,unemployment,-0.08833139903165012,-0.14810557155382806,0.0029148302168196037
8,inflation,gdp,-0.00691649063909701,-0.050029015475400215,0.040588511484322756
8,inflation,inflation,0.007356198290781829,-0.03859184810422794,0.04504956731835543
8,inflation,fed_funds,0.0947239997103851,-0.001100890198298837,0.17304412776177044
8,inflation,unemployment,0.06504061342469283,-0.019672376705410093,0.12259159754106107
8,fed_funds,gdp,-0.017567977365116266,-0.06589216392485125,0.03535795811849748
8,fed_funds,inflation,-0.00947948122714839,-0.05809875830549729,0.030383261766070698
8,fed_funds,fed_funds,0.05579753914199907,-0.0436578537867792,0.11498365511362275
8,fed_funds,unemployment,0.04033525367218062,-0.032235129641905516,0.09800077485937064
8,unemployment,gdp,0.013208609324984126,-0.022729480910560363,0.05602289879983448
8,unemployment,inflation,0.008608546802074773,-0.03178635983895519,0.0406891881915745
8,unemployment,fed_funds,0.06289732141429222,-0.013222971915205658,0.12598392217264473
8,unemployment,unemployment,0.08512897993788196,0.004639051859215624,0.12156611646428221
9,gdp,gdp,-0.022053102564461018,-0.07326079163790834,0.02383074016178155
9,gdp,inflation,-0.011925351079150019,-0.05469490584658217,0.029192228320442024
9,gdp,fed_funds,0.03531868882001267,-0.056347954068149776,0.11240152315117556
9,gdp,unemployment,-0.07432792511410363,-0.13480574183353936,0.013031674583597455
9,inflation,gdp,-0.0070578079676901564,-0.0464358221079685,0.031884694964438645
9,inflation,inflation,0.0041869586628310584,-0.034431261678440656,0.036261879665789726
9,inflation,fed_funds,0.08301218154941618,-0.0020777028983685235,0.1518771118626154
9,inflation,unemployment,0.06482839974264495,-0.01680479916596522,0.12014383668332575
9,fed_funds,gdp,-0.015137989492113783,-0.05438735318749506,0.026114082330344596
9,fed_funds,inflation,-0.005503800452378118,-0.04421902303828434,0.028872769805083492
9,fed_funds,fed_funds,0.04232416776753092,-0.053598156318357015,0.10199432633744734
9,fed_funds,unemployment,0.04230710847403407,-0.030146825986418255,0.0959218386048036
9,unemployment,gdp,0.010705704269142741,-0.022823735716167245,0.04624953364421652
9,unemployment,inflation,0.006275894491020553,-0.03170905141883208,0.03551517177820469
9,unemployment,fed_funds,0.06145532862705752,-0.013516456198059634,0.11721859893457225
9,unemployment,unemployment,0.07889882267594313,0.0015165394575599826,0.11611042435955297
10,gdp,gdp,-0.02135830223342419,-0.06601592006970122,0.018271085952292317
10,gdp,inflation,-0.011193481877638627,-0.04812797048890795,0.028373137354791612
10,gdp,fed_funds,0.018563147046781796,-0.06610708563689575,0.09367699300391445
10,gdp,unemployment,-0.06236443866138148,-0.12018675873119522,0.015418193933835143
10,inflation,gdp,-0.004691169284551243,-0.038988653200157514,0.031079340430749836
10,inflation,inflation,0.0019833322997763036,-0.03463413674800421,0.029882561742614333
10,inflation,fed_funds,0.07266900198237522,-0.0067427647507775955,0.13707424058634993
10,inflation,unemployment,0.06375866958367901,-0.012331370984154426,0.11587571072400803
10,fed_funds,gdp,-0.008951642930597557,-0.04030213115829753,0.025940017764993547
10,fed_funds,inflation,-0.0036551732312479802,-0.037338535063680595,0.02382597826916204
10,fed_funds,fed_funds,0.03330867358692607,-0.05067107474834949,0.09193124584564619
10,fed_funds,unemployment,0.042349737651500324,-0.02686712299263559,0.09449565027239376
10,unemployment,gdp,0.008725731400334455,-0.021879858693669815,0.03833198882179159
10,unemployment,inflation,0.004949559296618067,-0.030616244301961467,0.03287540049223096
10,unemployment,fed_funds,0.058878484892066076,-0.01680044841160675,0.11167361218604543
10,unemployment,unemployment,0.07309743765708343,0.0008949359066936555,0.11224633679545287
11,gdp,gdp,-0.019577993382604672,-0.058978792457130946,0.016570834221191613
11,gdp,inflation,-0.009726009930942404,-0.04378126528105076,0.026916112081372772
11,gdp,fed_funds,0.0053563051159613555,-0.07630465164618895,0.07647992638318611
11,gdp,unemployment,-0.05250726758540504,-0.10496085212674637,0.018987083787341347
11,inflation,gdp,-0.003687761020989814,-0.034126389709227545,0.03005294081305948
11,inflation,inflation,0.0012052905673867252,-0.031282715553893094,0.026709890771425878
11,inflation,fed_funds,0.06348992552633981,-0.012254516242607143,0.12304551597920513
11,inflation,unemployment,0.06217952941757649,-0.009447755902468625,0.11168003006070036
11,fed_funds,gdp,-0.0059306544804757265,-0.03208646322578299,0.024807954155492206
11,fed_funds,inflation,-0.0021409301663926758,-0.030080552458779622,0.020939180808131886
11,fed_funds,fed_funds,0.02700040106637264,-0.05217499971320889,0.07945729462618595
11,fed_funds,unemployment,0.04143585690660562,-0.024153271984521586,0.08781658367213133
11,unemployment,gdp,0.007132845871629735,-0.020953127302373305,0.034276609843924596
11,unemployment,inflation,0.003830335791860037,-0.029674135683467776,0.029594700793432894
11,unemployment,fed_funds,0.05564453431325232,-0.018660484851287386,0.10509430661537307
11,unemployment,unemployment,0.06801292973496625,9.204736467470964e-05,0.1077969809225008
12,gdp,gdp,-0.016614758514562226,-0.052670665613751985,0.016261701379184534
12,gdp,inflation,-0.008323104815786443,-0.03787126944262878,0.02325439049288383
12,gdp,fed_funds,-0.004372037833055602,-0.07992505789001916,0.0637036760278371
12,gdp,unemployment,-0.044602073574011664,-0.09591217761452465,0.02364251503326457
12,inflation,gdp,-0.0020745035095292128,-0.028950735204126027,0.032126826072413524
12,inflation,inflation,0.0008557339024111136,-0.02913246202118587,0.02418525410327371
12,inflation,fed_funds,0.05583817152302699,-0.011550222296701431,0.11116487751524244
12,inflation,unemployment,0.060076146453192904,-0.007675988025411927,0.10588036101414677
12,fed_funds,gdp,-0.0029465694498998773,-0.025407467837076494,0.02530486948894162
12,fed_funds,inflation,-0.0007708776043516428,-0.025751077269674297,0.019735578939006092
12,fed_funds,fed_funds,0.022943053588776532,-0.043260481595839624,0.06933170628360653
12,fed_funds,unemployment,0.03972401518922841,-0.022240981089099773,0.08353707021456057
12,unemployment,gdp,0.005904196564539083,-0.02113732259248,0.030715843503985693
12,unemployment,inflation,0.0030251343049283435,-0.027515984091053214,0.026371786720324537
12,unemployment,fed_funds,0.05213181152942913,-0.019580611634413513,0.09965283686724291
12,unemployment,unemployment,0.06356886296838232,-0.002679019994194054,0.10294181003921529
13,gdp,gdp,-0.013832515403493558,-0.04690294791412579,0.014378023521176326
13,gdp,inflation,-0.006759405635926643,-0.03213141952503174,0.020165981122219605
13,gdp,fed_funds,-0.01120328113696506,-0.07800885422360125,0.049573727712356234
13,gdp,unemployment,-0.0383229047620284,-0.0902816124023916,0.026753592009492077
13,inflation,gdp,-0.0009183520779974763,-0.025547432842006234,0.028855043815193847
13,inflation,inflation,0.000802456922103314,-0.028186635741460467,0.022474507109597894
13,inflation,fed_funds,0.04941814641724399,-0.014581507759701183,0.1020724168390149
13,inflation,unemployment,0.05762324769817275,-0.006151319321644553,0.10130122441469609
13,fed_funds,gdp,-0.0009907679536494925,-0.01984083150063728,0.02515579907024924
13,fed_funds,inflation,6.265006802183983e-05,-0.021419489345394376,0.019090092409423522
13,fed_funds,fed_funds,0.020274353335428662,-0.03948880356920879,0.06408406824232343
13,fed_funds,unemployment,0.037601953288481746,-0.021635156452472423,0.08064076604816903
13,unemployment,gdp,0.004946643025274676,-0.020250316777628105,0.02578787660580324
13,unemployment,inflation,0.0025140366359016992,-0.025156102726822806,0.023963156138143593
13,unemployment,fed_funds,0.04852749845060976,-0.020244278135739997,0.0928639378984127
13,unemployment,unemployment,0.059536909378345854,-0.004598930394304235,0.09790564426641081
14,gdp,gdp,-0.011101537725712695,-0.040143145307388335,0.015115372095768366
14,gdp,inflation,-0.005322293125254107,-0.026954616033548887,0.01833342565863924
14,gdp,fed_funds,-0.015622027954801389,-0.0784295379690669,0.041937374456098235
14,gdp,unemployment,-0.0334046754481186,-0.08235053290593922,0.027681631086948776
14,inflation,gdp,0.0001618526962188849,-0.021825336986266975,0.026670501517045486
14,inflation,inflation,0.0009181680254292899,-0.02622894113484365,0.020981496937467602
14,inflation,fed_funds,0.04414929104932218,-0.019726228379236974,0.09557362309025065
14,inflation,unemployment,0.054887883085028746,-0.00535657354197261,0.09591101331076192
14,fed_funds,gdp,0.0005203320238285884,-0.016018179708565596,0.026391154683259775
14,fed_funds,inflation,0.0006329233804884277,-0.01787150067122501,0.01715327298694222
14,fed_funds,fed_funds,0.018602789660942743,-0.03524260258984668,0.05803446764274856
14,fed_funds,unemployment,0.0352464124935143,-0.020336862463720164,0.07489636140518328
14,unemployment,gdp,0.004304464926927664,-0.01915176267863288,0.02366857373383248
