"Model","AIC","BIC","RMSE","MAE","MAPE"
"ETS(M,Ad,M)",1244.4579942902,1296.34842889675,27.3980396702912,22.8045023369216,4.655646776462
"Holt-Winters (mult)",NA,NA,31.9824739961026,24.1723570678754,4.89107509224834
"Theta",NA,NA,30.7180738595988,26.3345932156034,5.32778854918115
"Auto-ARIMA (ARIMA(1,1,0)(0,1,0)[12] )",899.902124377601,905.460371363824,23.9317032636604,18.5276821584028,4.18239527895942
"SARIMA(0,1,1)(0,1,1)[12]",901.721052361976,910.058422841311,21.0904718649003,16.2176890311775,3.65238733494184
"SARIMA(1,1,0)(1,1,0)[12]",900.823102007221,909.160472486556,20.8101001494097,15.9884253764968,3.59914938878284
